"id","user_id","address_line","city","postal_code"
"1","1","Jl Pahlawan No 638","Banjarmasin","77790"
"2","2","Jl Juanda No 787","Surabaya","58935"
"3","3","Jl Merdeka No 969","Bandung","77177"
"4","4","Jl Juanda No 937","Jayapura","29730"
"5","5","Jl Thamrin No 680","Palembang","79778"
"6","6","Jl Pahlawan No 57","Padang","05998"
"7","7","Jl Merdeka No 563","Palembang","07571"
"8","8","Jl Asia Afrika No 525","Makassar","19455"
"9","9","Jl Gatot Subroto No 8","Pontianak","48651"
"10","10","Jl Thamrin No 642","Bogor","41067"
"11","11","Jl Juanda No 439","Bogor","69076"
"12","12","Jl Juanda No 421","Malang","15405"
"13","13","Jl Gatot Subroto No 762","Pontianak","53336"
"14","14","Jl Gatot Subroto No 84","Pontianak","40707"
"15","15","Jl Diponegoro No 376","Palembang","84361"
"16","16","Jl Pahlawan No 642","Cirebon","65053"
"17","17","Jl Asia Afrika No 237","Yogyakarta","12291"
"18","18","Jl Sisingamangaraja No 552","Surabaya","60034"
"19","19","Jl Sisingamangaraja No 133","Pekanbaru","09564"
"20","20","Jl Asia Afrika No 350","Yogyakarta","06223"
"21","21","Jl Sisingamangaraja No 977","Jayapura","95054"
"22","22","Jl Sudirman No 51","Banjarmasin","31695"
"23","23","Jl Gatot Subroto No 487","Pontianak","05917"
"24","24","Jl Juanda No 665","Manado","50153"
"25","25","Jl Asia Afrika No 916","Cilacap","05776"
"26","26","Jl Pahlawan No 101","Padang","28933"
"27","27","Jl Gatot Subroto No 748","Semarang","85991"
"28","28","Jl Diponegoro No 818","Tasikmalaya","47038"
"29","29","Jl Sudirman No 683","Bogor","95069"
"30","30","Jl Diponegoro No 189","Tasikmalaya","49262"
"31","31","Jl Merdeka No 568","Tasikmalaya","78590"
"32","32","Jl Sisingamangaraja No 315","Denpasar","30716"
"33","33","Jl Sisingamangaraja No 761","Cirebon","37803"
"34","34","Jl Diponegoro No 748","Mataram","25013"
"35","35","Jl Juanda No 492","Cilacap","84668"
"36","36","Jl Diponegoro No 871","Pekanbaru","75035"
"37","37","Jl Sisingamangaraja No 208","Ambon","92082"
"38","38","Jl Gatot Subroto No 990","Denpasar","49837"
"39","39","Jl Juanda No 484","Tasikmalaya","96072"
"40","40","Jl Sudirman No 269","Medan","62809"
"41","41","Jl Juanda No 568","Malang","36080"
"42","42","Jl Sisingamangaraja No 695","Padang","62689"
"43","43","Jl Juanda No 87","Surabaya","56339"
"44","44","Jl Diponegoro No 928","Manado","45261"
"45","45","Jl Thamrin No 142","Manado","53793"
"46","46","Jl Juanda No 296","Palembang","40072"
"47","47","Jl Juanda No 662","Padang","90158"
"48","48","Jl Diponegoro No 277","Denpasar","84451"
"49","49","Jl Juanda No 374","Pekanbaru","99986"
"50","50","Jl Sudirman No 387","Pekanbaru","02365"
"51","51","Jl Gatot Subroto No 730","Bogor","80004"
"52","52","Jl Gatot Subroto No 300","Palembang","04483"
"53","53","Jl Diponegoro No 85","Bandung","28187"
"54","54","Jl Diponegoro No 829","Bandung","23457"
"55","55","Jl Diponegoro No 417","Cilacap","44223"
"56","56","Jl Sudirman No 1","Denpasar","36358"
"57","57","Jl Sisingamangaraja No 279","Pontianak","97032"
"58","58","Jl Juanda No 901","Mataram","43942"
"59","59","Jl Pahlawan No 111","Manado","96069"
"60","60","Jl Asia Afrika No 807","Kupang","80554"
"61","61","Jl Asia Afrika No 367","Bandung","38927"
"62","62","Jl Pahlawan No 985","Jayapura","39507"
"63","63","Jl Diponegoro No 180","Medan","59330"
"64","64","Jl Pahlawan No 958","Makassar","02548"
"65","65","Jl Merdeka No 473","Semarang","28143"
"66","66","Jl Asia Afrika No 888","Mataram","89739"
"67","67","Jl Pahlawan No 765","Pekanbaru","19064"
"68","68","Jl Merdeka No 405","Mataram","10368"
"69","69","Jl Juanda No 792","Tasikmalaya","49962"
"70","70","Jl Gatot Subroto No 682","Denpasar","60480"
"71","71","Jl Sudirman No 118","Padang","37666"
"72","72","Jl Gatot Subroto No 313","Surabaya","98840"
"73","73","Jl Gatot Subroto No 356","Samarinda","15992"
"74","74","Jl Merdeka No 864","Palembang","51427"
"75","75","Jl Juanda No 354","Medan","62358"
